-----TargetLibrary-----
Title	URL	User/Group	Roles
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	SPS2013\administrator	Full Control,Limited Access,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	Excel Services Viewers	View Only,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	TOM v2 Owners	Full Control,Limited Access,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	TOM v2 Visitors	Read,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	TOM v2 Members	Edit,Limited Access,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	TOM Administrators	Full Control,Limited Access,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	TOM Owners	Full Control,Limited Access,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	TOM Members	Contribute,Limited Access,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	TOM Visitors	Read,Limited Access,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	TOM Viewers	Read,Limited Access,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	Style Resource Readers	Limited Access,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	Designers	Design,Limited Access,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	Hierarchy Managers	Manage Hierarchy,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	Approvers	Approve,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	Restricted Readers	Restricted Read,
TaxDocuments	http://sps2013/sites/tomv2/sites/tomv2/TaxDocuments	Translation Managers	Restricted Interfaces for Translation,

-----LibraryItems-----
ID	Title	Path	HasUniqueRoleAssignments	User/Group	Roles
40	1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	/sites/tomv2/TaxDocuments/LocalFile/1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	False	TOM Owners	Full Control,Limited Access,
40	1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	/sites/tomv2/TaxDocuments/LocalFile/1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	False	TOM Members	Contribute,Limited Access,
40	1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	/sites/tomv2/TaxDocuments/LocalFile/1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	False	TOM Visitors	Read,Limited Access,
40	1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	/sites/tomv2/TaxDocuments/LocalFile/1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	False	TOM Viewers	Read,Limited Access,
40	1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	/sites/tomv2/TaxDocuments/LocalFile/1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	False	Style Resource Readers	Limited Access,
40	1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	/sites/tomv2/TaxDocuments/LocalFile/1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	False	Designers	Design,Limited Access,
40	1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	/sites/tomv2/TaxDocuments/LocalFile/1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	False	Hierarchy Managers	Manage Hierarchy,
40	1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	/sites/tomv2/TaxDocuments/LocalFile/1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	False	Approvers	Approve,
40	1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	/sites/tomv2/TaxDocuments/LocalFile/1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	False	Restricted Readers	Restricted Read,
40	1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	/sites/tomv2/TaxDocuments/LocalFile/1001_JHQ_LF_Financial data _ Benchmarks_FY2015.3.xlsx	False	Translation Managers	Restricted Interfaces for Translation,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	SPS2013\administrator	Full Control,Limited Access,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	Excel Services Viewers	View Only,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	TOM v2 Owners	Full Control,Limited Access,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	TOM v2 Visitors	Read,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	TOM v2 Members	Edit,Limited Access,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	TOM Administrators	Full Control,Limited Access,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	TOM Owners	Full Control,Limited Access,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	TOM Members	Contribute,Limited Access,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	TOM Visitors	Read,Limited Access,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	TOM Viewers	Read,Limited Access,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	Style Resource Readers	Limited Access,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	Designers	Design,Limited Access,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	Hierarchy Managers	Manage Hierarchy,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	Approvers	Approve,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	Restricted Readers	Restricted Read,
43	2101_Sub-B_Local File_FY2014.12.docx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_Local File_FY2014.12.docx	False	Translation Managers	Restricted Interfaces for Translation,
46	2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	False	SPS2013\administrator	Full Control,Limited Access,
46	2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	False	Excel Services Viewers	View Only,
46	2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	False	TOM v2 Owners	Full Control,Limited Access,
46	2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	False	TOM v2 Visitors	Read,
46	2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	False	TOM v2 Members	Edit,Limited Access,
46	2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	False	TOM Administrators	Full Control,Limited Access,
46	2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	False	TOM Owners	Full Control,Limited Access,
46	2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	False	TOM Members	Contribute,Limited Access,
46	2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	False	TOM Visitors	Read,Limited Access,
46	2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	False	TOM Viewers	Read,Limited Access,
46	2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	/sites/tomv2/TaxDocuments/LocalFile/2101_Sub-B_LF_Financial data _ Benchmarks_FY2014.12.xlsx	False	Style Resource Readers	Limited Access,
